case,policy_seed,portfolio,value_ppo,economic_value_ppo,expected_loss_ppo,value_myopic,economic_value_myopic,expected_loss_myopic,lower_initial_value_higher_total
buffer_1.0,303,2,-907.2327214872912,-2874.147939852008,1563.8262977715162,-1516.7667539840097,-2959.125490753533,1770.3604322807062,False
buffer_1.0,303,3,-1553.7999032444202,-3276.0475996053347,1841.9961045077405,-2514.39192639162,-3307.96190561788,2010.087639284838,False
buffer_1.0,303,4,-1189.192960716938,574.0699205741614,2107.474396892881,-2801.387645754478,578.6452982852114,2328.386658210813,True
buffer_1.0,303,5,-1135.69194945647,559.6897463923618,2182.2550730204634,-2326.7993883858226,563.1538421030872,2360.8717870678984,True
buffer_1.0,303,6,-933.523850503535,603.2429281059522,1483.676261295325,-2024.334813572176,611.771651634135,1731.6316728652575,True
buffer_1.0,303,7,-490.2214810767096,753.743399079888,1607.2880659708978,-1521.252183429312,761.4919466553063,1801.877266975494,True
buffer_1.1,101,0,-1306.1748110166895,657.626498357303,2189.667057208774,-1764.3679086823297,658.7320672675684,2260.42410403262,True
buffer_1.1,101,1,-1195.0935538708875,570.7303373661686,3125.387091090736,-1804.9723594447912,561.9104298013111,3183.89092602609,False
buffer_1.1,101,2,-1274.630815148289,-2895.861904775621,2691.3048706458367,-1415.3099281221946,-2918.259333180493,2706.2365407018942,False
buffer_1.1,101,3,-1995.219641383342,-3284.9931751200534,2336.8949690202044,-2240.396409197654,-3308.151590179953,2352.997915819742,False
buffer_1.1,101,4,-1747.0874547669707,577.3293726639938,2800.0216908637785,-1964.6559852046712,578.6452982852114,2838.949424716368,True
buffer_1.1,101,5,-1533.5416929558055,569.8053997227089,3153.7433456243407,-2096.7183935109515,564.5394270358968,3165.873419698238,False
buffer_1.1,101,6,-1433.2921311675052,618.0250621851285,1867.6002845747312,-1647.2966854879548,607.7584628524695,1868.72059116984,False
buffer_1.1,101,7,-631.6604454236441,771.4190266967628,2007.959133759222,-1183.5142956941756,761.4919466553063,2083.363519449288,False
buffer_1.1,202,0,-1139.7403580552862,653.5186967260976,2037.958183541384,-1764.3679086823297,658.7320672675684,2260.42410403262,True
buffer_1.1,202,1,-1257.0857027900709,566.6034551845307,3084.4003540083977,-1804.9723594447912,561.9104298013111,3183.89092602609,False
buffer_1.1,202,2,-1112.4755092486064,-2873.1473889401946,2649.446963819162,-1415.3099281221946,-2918.259333180493,2706.2365407018942,False
buffer_1.1,202,3,-1951.694652034448,-3276.0475996053347,2160.265037880516,-2240.396409197654,-3308.151590179953,2352.997915819742,False
buffer_1.1,202,4,-1340.7771621322956,574.0699205741614,2580.978237536828,-1964.6559852046712,578.6452982852114,2838.949424716368,True
buffer_1.1,202,5,-1497.1321314669112,562.5553507310402,3006.0336839998627,-2096.7183935109515,564.5394270358968,3165.873419698238,True
buffer_1.1,202,6,-1217.0368526183147,605.1253997534393,1767.6853123184676,-1647.2966854879548,607.7584628524695,1868.72059116984,True
buffer_1.1,202,7,-575.21439578992,753.743399079888,1857.5937336598963,-1183.5142956941756,761.4919466553063,2083.363519449288,True
buffer_1.1,303,0,-888.4748500696629,653.056902077979,2014.3165082649136,-1764.3679086823297,658.7320672675684,2260.42410403262,True
buffer_1.1,303,1,-840.6671095318035,557.3294986371382,2890.188046045393,-1804.9723594447912,561.9104298013111,3183.89092602609,True
buffer_1.1,303,2,-907.2327214872912,-2874.147939852008,2483.143078400732,-1415.3099281221946,-2918.259333180493,2706.2365407018942,False
buffer_1.1,303,3,-1553.7999032444202,-3276.0475996053347,2160.265037880516,-2240.396409197654,-3308.151590179953,2352.997915819742,False
buffer_1.1,303,4,-1189.192960716938,574.0699205741614,2580.978237536828,-1964.6559852046712,578.6452982852114,2838.949424716368,True
buffer_1.1,303,5,-1135.69194945647,559.6897463923618,2923.4187212843854,-2096.7183935109515,564.5394270358968,3165.873419698238,True
buffer_1.1,303,6,-933.523850503535,603.2429281059522,1732.9844240469351,-1647.2966854879548,607.7584628524695,1868.72059116984,True
buffer_1.1,303,7,-490.2214810767096,753.743399079888,1857.5937336598963,-1183.5142956941756,761.4919466553063,2083.363519449288,True
buffer_1.25,101,0,-1306.1748110166895,657.626498357303,2930.123967961477,-1873.6759149394568,658.7320672675684,3037.5665415457515,True
