case,policy,metric,mean,lower,upper,portfolio_sd,training_seed_sd
pd_over,Greedy,true_violation_rate,0.13541666666666663,0.10416666666666663,0.1666666666666666,0.04854019770922644,0.0
pd_over,Myopic,value,-818.4147705986375,-997.4345164224278,-613.0048351984589,334.5378421960587,0.0
pd_over,Myopic,loss,1675.6236420503296,1512.0446515242843,1834.0606941900603,268.81338914679907,0.0
pd_over,Myopic,default_rate,0.59375,0.53125,0.65625,0.10386862122985206,0.0
pd_over,Myopic,el_violation_rate,0.49999999999999994,0.4375,0.5600260416666666,0.09960238411119948,0.0
pd_over,Myopic,true_violation_rate,0.13541666666666663,0.09895833333333329,0.18229166666666663,0.062001984095237085,0.0
pd_over,PPO_hard,value,-722.2088385752226,-945.572193306578,-499.12213116466575,320.0456722908437,152.5738887597552
pd_over,PPO_hard,loss,1231.3494808987377,1041.939759124929,1435.3177484845871,302.7942856856029,86.81433112248895
pd_over,PPO_hard,default_rate,0.638888888888889,0.5625,0.7083333333333334,0.07570946042991629,0.06364688465216443
pd_over,PPO_hard,el_violation_rate,0.24652777777777776,0.20833333333333331,0.29257812499999997,0.039107943143704436,0.03467879228374687
pd_over,PPO_hard,true_violation_rate,0.0972222222222222,0.05811631944444442,0.1302083333333333,0.046953014151584246,0.018291065543147106
pd_over,PPO_penalty,value,-796.5915465311973,-1000.0072528048362,-628.6704778860282,319.63485757479305,0.0
pd_over,PPO_penalty,loss,1138.5464468706296,979.5153857423006,1339.2553354440965,304.7900409398794,0.0
pd_over,PPO_penalty,default_rate,0.6979166666666666,0.65625,0.7291666666666666,0.06200198409523708,0.0
pd_over,PPO_penalty,el_violation_rate,0.2135416666666666,0.19270833333333326,0.23958333333333334,0.041292967040213145,0.0
pd_over,PPO_penalty,true_violation_rate,0.08333333333333329,0.05729166666666661,0.10937499999999996,0.044543540318737404,0.0
pd_over,PPO_unconstrained,value,-796.5915465311973,-1000.0072528048362,-628.6704778860282,319.63485757479305,0.0
pd_over,PPO_unconstrained,loss,1138.5464468706296,979.5153857423006,1339.2553354440965,304.7900409398794,0.0
pd_over,PPO_unconstrained,default_rate,0.6979166666666666,0.65625,0.7291666666666666,0.06200198409523708,0.0
pd_over,PPO_unconstrained,el_violation_rate,0.2135416666666666,0.19270833333333326,0.23958333333333334,0.041292967040213145,0.0
pd_over,PPO_unconstrained,true_violation_rate,0.08333333333333329,0.05729166666666661,0.10937499999999996,0.044543540318737404,0.0
pd_over,RiskBased,value,-616.2409317851517,-835.6462161875404,-386.49333897022206,396.0857634168821,0.0
pd_over,RiskBased,loss,1309.8765526141165,1129.7637437710107,1477.0850519758474,301.7881095515153,0.0
pd_over,RiskBased,default_rate,0.5833333333333333,0.5104166666666667,0.6458333333333334,0.10910894511799618,0.0
pd_over,RiskBased,el_violation_rate,0.2916666666666667,0.25247395833333336,0.3360677083333332,0.0704295212273764,0.0
pd_over,RiskBased,true_violation_rate,0.09895833333333329,0.06249999999999996,0.14062499999999994,0.06274752572115479,0.0
pd_over,Static,value,-1488.2326491483477,-1732.694541667311,-1262.7901396922134,375.1337988373068,0.0
