world_id,policy,parameter,endpoint,parameter_value,value,delta_static,delta_myopic
oat_default_utilization_low,SIMULATOR_ONLY_ORACLE_Myopic,default.utilization,low,0.85,-1167.4199681573461,501.18197097447774,491.1634478721496
oat_default_utilization_low,Static,default.utilization,low,0.85,-1668.6019391318239,0.0,-10.018523102328118
oat_default_utilization_low,UtilizationPD,default.utilization,low,0.85,-967.7758639982658,700.8260751335581,690.80755203123
oat_dynamics_income_sigma_high,AlwaysDecrease,dynamics.income_sigma,high,0.04,-895.3767878089616,938.9254482809388,803.5633301290397
oat_dynamics_income_sigma_high,AlwaysDecrease20,dynamics.income_sigma,high,0.04,-799.2792752816758,1035.0229608082245,899.6608426563255
oat_dynamics_income_sigma_high,AlwaysIncrease,dynamics.income_sigma,high,0.04,-2146.698595921338,-312.3963598314376,-447.75847798333666
oat_dynamics_income_sigma_high,MyopicEconomic,dynamics.income_sigma,high,0.04,-1698.9401179380013,135.36211815189904,0.0
oat_dynamics_income_sigma_high,PDThreshold,dynamics.income_sigma,high,0.04,-1143.064307724941,691.2379283649593,555.8758102130603
oat_dynamics_income_sigma_high,PPO,dynamics.income_sigma,high,0.04,-799.2792752816758,1035.0229608082245,899.6608426563255
oat_dynamics_income_sigma_high,PPO_without_PD,dynamics.income_sigma,high,0.04,-799.2792752816758,1035.0229608082245,899.6608426563255
oat_dynamics_income_sigma_high,Random,dynamics.income_sigma,high,0.04,-1602.3089314384454,231.993304651455,96.63118649955595
oat_dynamics_income_sigma_high,SIMULATOR_ONLY_ORACLE_Myopic,dynamics.income_sigma,high,0.04,-1558.1792032705082,276.12303281939217,140.76091466749313
oat_dynamics_income_sigma_high,Static,dynamics.income_sigma,high,0.04,-1834.3022360899004,0.0,-135.36211815189904
oat_dynamics_income_sigma_high,UtilizationPD,dynamics.income_sigma,high,0.04,-1143.8359163381901,690.4663197517102,555.1042015998112
oat_dynamics_income_sigma_low,AlwaysDecrease,dynamics.income_sigma,low,0.018,-873.9434263221478,973.8051550729137,703.6773604184223
oat_dynamics_income_sigma_low,AlwaysDecrease20,dynamics.income_sigma,low,0.018,-792.0078356406766,1055.740745754385,785.6129510998935
oat_dynamics_income_sigma_low,AlwaysIncrease,dynamics.income_sigma,low,0.018,-2017.530818109509,-169.78223671444744,-439.9100313689389
oat_dynamics_income_sigma_low,MyopicEconomic,dynamics.income_sigma,low,0.018,-1577.62078674057,270.1277946544915,0.0
oat_dynamics_income_sigma_low,PDThreshold,dynamics.income_sigma,low,0.018,-1080.7684096365876,766.980171758474,496.85237710398246
oat_dynamics_income_sigma_low,PPO,dynamics.income_sigma,low,0.018,-792.0078356406766,1055.740745754385,785.6129510998935
oat_dynamics_income_sigma_low,PPO_without_PD,dynamics.income_sigma,low,0.018,-792.0078356406766,1055.740745754385,785.6129510998935
oat_dynamics_income_sigma_low,Random,dynamics.income_sigma,low,0.018,-1554.8484018845515,292.90017951051004,22.77238485601856
oat_dynamics_income_sigma_low,SIMULATOR_ONLY_ORACLE_Myopic,dynamics.income_sigma,low,0.018,-1461.062480315646,386.6861010794155,116.55830642492401
oat_dynamics_income_sigma_low,Static,dynamics.income_sigma,low,0.018,-1847.7485813950616,0.0,-270.1277946544915
oat_dynamics_income_sigma_low,UtilizationPD,dynamics.income_sigma,low,0.018,-1084.683069504125,763.0655118909367,492.9377172364452
oat_dynamics_missed_delinquency_high,AlwaysDecrease,dynamics.missed_delinquency,high,0.9,-950.8181706382932,903.4409543701299,827.7441922480955
oat_dynamics_missed_delinquency_high,AlwaysDecrease20,dynamics.missed_delinquency,high,0.9,-843.1802749842464,1011.0788500241767,935.3820879021423
oat_dynamics_missed_delinquency_high,AlwaysIncrease,dynamics.missed_delinquency,high,0.9,-2224.5477294258644,-370.2886044174413,-445.98536653947576
oat_dynamics_missed_delinquency_high,MyopicEconomic,dynamics.missed_delinquency,high,0.9,-1778.5623628863887,75.69676212203444,0.0
oat_dynamics_missed_delinquency_high,PDThreshold,dynamics.missed_delinquency,high,0.9,-1109.683637353753,744.57548765467,668.8787255326356
oat_dynamics_missed_delinquency_high,PPO,dynamics.missed_delinquency,high,0.9,-843.1802749842464,1011.0788500241767,935.3820879021423
oat_dynamics_missed_delinquency_high,PPO_without_PD,dynamics.missed_delinquency,high,0.9,-843.1802749842464,1011.0788500241767,935.3820879021423
oat_dynamics_missed_delinquency_high,Random,dynamics.missed_delinquency,high,0.9,-1654.3031553324358,199.95596967598726,124.25920755395282
oat_dynamics_missed_delinquency_high,SIMULATOR_ONLY_ORACLE_Myopic,dynamics.missed_delinquency,high,0.9,-1784.0887371155409,70.17038789288222,-5.526374229152225
oat_dynamics_missed_delinquency_high,Static,dynamics.missed_delinquency,high,0.9,-1854.259125008423,0.0,-75.69676212203444
oat_dynamics_missed_delinquency_high,UtilizationPD,dynamics.missed_delinquency,high,0.9,-1116.3776210851174,737.8815039233057,662.1847418012712
oat_dynamics_missed_delinquency_low,AlwaysDecrease,dynamics.missed_delinquency,low,0.35,-849.8240928006841,975.7313178054991,780.8520202683004
oat_dynamics_missed_delinquency_low,AlwaysDecrease20,dynamics.missed_delinquency,low,0.35,-791.4013455052732,1034.15406510091,839.2747675637113
oat_dynamics_missed_delinquency_low,AlwaysIncrease,dynamics.missed_delinquency,low,0.35,-2105.2280818780396,-279.6726712718564,-474.5519688090551
oat_dynamics_missed_delinquency_low,MyopicEconomic,dynamics.missed_delinquency,low,0.35,-1630.6761130689845,194.87929753719868,0.0
oat_dynamics_missed_delinquency_low,PDThreshold,dynamics.missed_delinquency,low,0.35,-1047.8175873900946,777.7378232160886,582.8585256788899
oat_dynamics_missed_delinquency_low,PPO,dynamics.missed_delinquency,low,0.35,-791.4013455052732,1034.15406510091,839.2747675637113
oat_dynamics_missed_delinquency_low,PPO_without_PD,dynamics.missed_delinquency,low,0.35,-791.4013455052732,1034.15406510091,839.2747675637113
oat_dynamics_missed_delinquency_low,Random,dynamics.missed_delinquency,low,0.35,-1524.9075985079471,300.64781209823605,105.76851456103736
